id,week,day_of_week,start_time,end_time,classroom,is_rescheduled
456,7,1,1,2,I302,0
457,8,1,1,2,I302,0
458,9,1,1,2,I302,0
459,10,1,1,2,I302,0
460,11,1,1,2,I302,0
461,12,1,1,2,I302,0
462,1,3,6,7,I302,0
463,2,3,6,7,I302,0
464,3,3,6,7,I302,0
465,4,3,6,7,I302,0
466,5,3,6,7,I302,0
467,6,3,6,7,I302,0
468,7,3,6,7,I302,0
469,8,3,6,7,I302,0
470,9,3,6,7,I302,0
471,10,3,6,7,I302,0
472,11,3,6,7,I302,0
473,12,3,6,7,I302,0
474,1,3,1,2,I702,0
475,2,3,1,2,I702,0
476,3,3,1,2,I702,0
477,4,3,1,2,I702,0
478,5,3,1,2,I702,0
479,6,3,1,2,I702,0
480,7,3,1,2,I702,0
481,8,3,1,2,I702,0
482,1,5,6,7,I702,0
483,2,5,6,7,I702,0
484,3,5,6,7,I702,0
485,4,5,6,7,I702,0
486,5,5,6,7,I702,0
487,6,5,6,7,I702,0
488,7,5,6,7,I702,0
489,8,5,6,7,I702,0
490,1,3,6,7,M135,0
491,2,3,6,7,M135,0
492,3,3,6,7,M135,0
493,4,3,6,7,M135,0
494,5,3,6,7,M135,0
495,6,3,6,7,M135,0
496,7,3,6,7,M135,0
497,8,3,6,7,M135,0
498,1,5,1,2,M135,0
499,2,5,1,2,M135,0
500,3,5,1,2,M135,0
501,4,5,1,2,M135,0
502,5,5,1,2,M135,0
503,6,5,1,2,M135,0
504,7,5,1,2,M135,0
505,8,5,1,2,M135,0
506,1,1,1,2,I202,0
507,2,1,1,2,I202,0
508,3,1,1,2,I202,0
509,4,1,1,2,I202,0
510,5,1,1,2,I202,0
511,6,1,1,2,I202,0
512,7,1,1,2,I202,0
513,8,1,1,2,I202,0
514,1,4,6,7,I202,0
515,2,4,6,7,I202,0
516,3,4,6,7,I202,0
517,4,4,6,7,I202,0
518,5,4,6,7,I202,0
519,6,4,6,7,I202,1
520,7,4,6,7,I202,0
521,8,4,6,7,I202,0
522,1,1,3,5,I404,0
523,2,1,3,5,I404,0
524,3,1,3,5,I404,0
525,4,1,3,5,I404,0
526,5,1,3,5,I404,0
527,6,1,3,5,I404,0
528,7,1,3,5,I404,0
529,8,1,3,5,I404,0
530,1,3,8,10,I404,0
531,2,3,8,10,I404,0
532,3,3,8,10,I404,0
533,4,3,8,10,I404,0
534,5,3,8,10,I404,0
535,6,3,8,10,I404,0
536,7,3,8,10,I404,0
537,8,3,8,10,I404,0
538,1,4,3,5,G222,0
539,2,4,3,5,G222,0
540,3,4,3,5,G222,0
541,4,4,3,5,G222,0
542,5,4,3,5,G222,0
543,6,4,3,5,G222,0
544,7,4,3,5,G222,0
545,8,4,3,5,G222,0
546,9,4,3,5,G222,0
547,10,4,3,5,G222,0
548,11,4,3,5,G222,0
549,12,4,3,5,G222,0
550,13,4,3,5,G222,0
551,14,4,3,5,G222,0
552,15,4,3,5,G222,0
553,16,4,3,5,G222,0
554,1,1,8,10,I604,0
555,2,1,8,10,I604,0
556,3,1,8,10,I604,0
557,4,1,8,10,I604,0
558,5,1,8,10,I604,0
559,6,1,8,10,I604,0
560,7,1,8,10,I604,0
561,8,1,8,10,I604,0
562,1,3,8,10,I604,0
563,2,3,8,10,I604,0
564,3,3,8,10,I604,0
565,4,3,8,10,I604,0
566,5,3,8,10,I604,0
567,6,3,8,10,I604,0
568,7,3,8,10,I604,0
569,8,3,8,10,I604,0
570,1,1,6,7,I402,1
571,2,1,6,7,I402,1
572,3,1,6,7,I402,1
573,4,1,6,7,I402,1
574,5,1,6,7,I402,1
575,6,1,6,7,I402,1
576,7,1,6,7,I402,1
577,8,1,6,7,I402,1
578,9,1,6,7,I402,1
579,10,1,6,7,I402,1
580,11,1,6,7,I402,1
581,12,1,6,7,I402,1
582,13,1,6,7,I402,1
583,14,1,6,7,I402,1
584,15,1,6,7,I402,1
585,16,1,6,7,I402,1
586,9,2,3,5,I602,0
587,10,2,3,5,I602,0
588,11,2,3,5,I602,0
589,12,2,3,5,I602,0
590,13,2,3,5,I602,0
591,14,2,3,5,I602,0
592,15,2,3,5,I602,0
593,16,2,3,5,I602,0
594,9,4,8,10,I602,0
595,10,4,8,10,I602,0
596,11,4,8,10,I602,0
597,12,4,8,10,I602,0
598,13,4,8,10,I602,0
599,14,4,8,10,I602,0
600,15,4,8,10,I602,0
601,16,4,8,10,I602,0
602,9,1,8,10,I204,0
603,10,1,8,10,I204,0
604,11,1,8,10,I204,0
605,12,1,8,10,I204,0
606,13,1,8,10,I204,0
607,14,1,8,10,I204,0
608,15,1,8,10,I204,0
609,16,1,8,10,I204,0
610,9,3,3,5,I204,0
611,10,3,3,5,I204,0
612,11,3,3,5,I204,0
613,12,3,3,5,I204,0
614,13,3,3,5,I204,0
615,14,3,3,5,I204,0
616,15,3,3,5,I204,0
617,16,3,3,5,I204,0
618,1,2,1,2,I602,0
619,2,2,1,2,I602,0
620,3,2,1,2,I602,0
621,4,2,1,2,I602,0
622,5,2,1,2,I602,0
623,6,2,1,2,I602,0
624,7,2,1,2,I602,0
625,8,2,1,2,I602,0
626,1,4,6,7,I602,0
627,2,4,6,7,I602,0
628,3,4,6,7,I602,0
629,4,4,6,7,I602,0
630,5,4,6,7,I602,0
631,6,4,6,7,I602,0
632,7,4,6,7,I602,0
633,8,4,6,7,I602,0
634,1,3,3,5,F704,0
635,2,3,3,5,F704,0
636,3,3,3,5,F704,0
637,4,3,3,5,F704,0
638,5,3,3,5,F704,0
639,6,3,3,5,F704,0
640,7,3,3,5,F704,0
641,8,3,3,5,F704,0
642,1,5,8,10,F704,0
643,2,5,8,10,F704,0
644,3,5,8,10,F704,0
645,4,5,8,10,F704,1
646,5,5,8,10,F704,0
647,6,5,8,10,F704,0
648,7,5,8,10,F704,0
649,8,5,8,10,F704,0
650,1,2,1,2,F303,0
651,2,2,1,2,F303,0
652,3,2,1,2,F303,0
653,4,2,1,2,F303,0
654,5,2,1,2,F303,0
655,6,2,1,2,F303,0
656,7,2,1,2,F303,0
657,8,2,1,2,F303,0
658,9,2,1,2,F303,0
659,10,2,1,2,F303,0
660,11,2,1,2,F303,0
661,12,2,1,2,F303,0
662,13,2,1,2,F303,1
663,14,2,1,2,F303,0
664,15,2,1,2,F303,0
665,16,2,1,2,F303,0
666,1,5,3,4,F303,0
667,2,5,3,4,F303,0
668,3,5,3,4,F303,0
669,4,5,3,4,F303,1
670,5,5,3,4,F303,0
671,6,5,3,4,F303,0
672,7,5,3,4,F303,0
673,8,5,3,4,F303,0
674,9,5,3,4,F303,0
675,10,5,3,4,F303,0
676,11,5,3,4,F303,0
677,12,5,3,4,F303,0
678,13,5,3,4,F303,0
679,14,5,3,4,F303,0
680,15,5,3,4,F303,0
681,16,5,3,4,F303,0
682,13,5,8,9,F303,0
683,1,4,11,13,B130,0
684,2,4,11,13,B130,0
685,3,4,11,13,B130,0
686,4,4,11,13,B130,0
687,5,4,11,13,B130,0
688,6,4,11,13,B130,0
689,7,4,11,13,B130,0
690,8,4,11,13,B130,0
691,9,4,11,13,B130,0
692,10,4,11,13,B130,0
693,11,4,11,13,B130,0
694,1,5,11,13,F202,0
695,2,5,11,13,F202,1
696,3,5,11,13,F202,1
697,4,5,11,13,F202,1
698,5,5,11,13,F202,1
699,6,5,11,13,F202,1
700,7,5,11,13,F202,1
701,8,5,11,13,F202,1
702,9,5,11,13,F202,1
703,10,5,11,13,F202,1
704,11,5,11,13,F202,1
705,2,5,11,13,G130,0
706,3,5,11,13,G130,0
707,4,5,11,13,G130,0
708,5,5,11,13,G130,0
709,6,5,11,13,G130,0
710,7,5,11,13,G130,0
711,8,5,11,13,G130,0
712,9,5,11,13,G130,0
713,10,5,11,13,G130,0
714,11,5,11,13,G130,0
715,4,2,11,13,F202,0
716,5,2,11,13,F202,0
717,6,2,11,13,F202,0
718,7,2,11,13,F202,0
719,8,2,11,13,F202,0
720,9,2,11,13,F202,0
721,10,2,11,13,F202,0
722,11,2,11,13,F202,0
723,12,2,11,13,F202,0
724,13,2,11,13,F202,0
725,14,2,11,13,F202,0
726,4,2,11,13,F704,0
727,5,2,11,13,F704,0
728,6,2,11,13,F704,0
729,7,2,11,13,F704,0
730,8,2,11,13,F704,0
731,9,2,11,13,F704,0
732,10,2,11,13,F704,0
733,11,2,11,13,F704,0
734,12,2,11,13,F704,0
735,13,2,11,13,F704,0
736,14,2,11,13,F704,0
737,8,2,6,7,I704,0
738,8,4,6,7,I704,0
739,7,2,6,7,I704,0
740,7,4,6,7,I704,0
741,1,1,8,10,I702,0
742,2,1,8,10,I702,0
743,3,1,8,10,I702,0
744,4,1,8,10,I702,0
745,5,1,8,10,I702,0
746,6,1,8,10,I702,0
747,7,1,8,10,I702,0
748,8,1,8,10,I702,0
749,1,4,8,10,I702,0
750,2,4,8,10,I702,0
751,3,4,8,10,I702,0
752,4,4,8,10,I702,0
753,5,4,8,10,I702,0
754,6,4,8,10,I702,0
755,7,4,8,10,I702,0
756,8,4,8,10,I702,0
757,9,2,8,10,I602,0
758,10,2,8,10,I602,0
759,11,2,8,10,I602,0
760,12,2,8,10,I602,0
761,13,2,8,10,I602,0
762,14,2,8,10,I602,0
763,15,2,8,10,I602,0
764,16,2,8,10,I602,0
765,9,5,8,10,I602,0
766,10,5,8,10,I602,0
767,11,5,8,10,I602,0
768,12,5,8,10,I602,0
769,13,5,8,10,I602,0
770,14,5,8,10,I602,0
771,15,5,8,10,I602,0
772,16,5,8,10,I602,0
773,4,1,8,10,I404,0
774,5,1,8,10,I404,0
775,6,1,8,10,I404,0
776,7,1,8,10,I404,0
777,8,1,8,10,I404,0
778,9,1,8,10,I404,0
779,4,3,6,7,I404,0
780,5,3,6,7,I404,0
781,6,3,6,7,I404,0
782,7,3,6,7,I404,0
783,8,3,6,7,I404,0
784,9,3,6,7,I404,0
785,10,1,8,10,I304,0
786,10,2,3,5,M222,0
787,11,2,3,5,M222,0
788,10,5,8,10,M222,0
789,11,5,8,10,M222,1
790,9,5,8,10,M222,0
791,12,5,8,10,M228,0
792,10,2,8,10,M222,0
793,11,2,8,10,M222,0
794,10,5,3,5,M222,0
795,11,5,3,5,M222,0
796,12,5,3,5,M222,0
797,16,3,8,10,I702,0
798,1,1,8,10,I502,0
799,2,1,8,10,I502,0
800,3,1,8,10,I502,0
801,4,1,8,10,I502,0
802,5,1,8,10,I502,0
803,6,1,8,10,I502,0
804,7,1,8,10,I502,0
805,8,1,8,10,I502,0
806,9,1,8,10,I502,0
807,10,1,8,10,I502,0
808,1,4,6,7,I502,0
809,2,4,6,7,I502,0
810,3,4,6,7,I502,0
811,4,4,6,7,I502,0
812,5,4,6,7,I502,0
813,6,4,6,7,I502,0
814,7,4,6,7,I502,0
815,8,4,6,7,I502,0
816,9,4,6,7,I502,0
817,10,4,6,7,I502,0
818,1,1,6,7,F302,0
819,2,1,6,7,F302,0
820,3,1,6,7,F302,0
821,4,1,6,7,F302,0
822,5,1,6,7,F302,0
823,6,1,6,7,F302,0
824,7,1,6,7,F302,0
825,8,1,6,7,F302,0
826,9,1,6,7,F302,0
827,10,1,6,7,F302,0
828,1,4,8,10,F302,0
829,2,4,8,10,F302,0
830,3,4,8,10,F302,0
831,4,4,8,10,F302,0
832,5,4,8,10,F302,0
833,6,4,8,10,F302,0
834,7,4,8,10,F302,0
835,8,4,8,10,F302,0
836,9,4,8,10,F302,0
837,10,4,8,10,F302,0
838,11,1,6,7,F302,0
839,12,1,6,7,F302,1
840,13,1,6,7,F302,1
841,11,4,8,10,F302,0
842,12,4,8,10,F302,1
843,13,4,8,10,F302,1
844,9,2,6,7,I704,0
845,10,2,6,7,I704,0
846,11,2,6,7,I704,0
847,12,2,6,7,I704,0
