已排时间地点,调课结果
"1-8周 星期一 8-10节 文萃楼I702,1-8周 星期四 8-10节 文萃楼I702",
"9-16周 星期二 8-10节 文萃楼I602,9-16周 星期五 8-10节 文萃楼I602",
"1-3周 星期一 8-10节 理教楼310,1-3周 星期三 6-7节 理教楼310,4-9周 星期一 8-10节 文萃楼I404,4-9周 星期三 6-7节 文萃楼I404,10周 星期一 8-10节 文萃楼I304",
"1-6周,8周,10-11周 星期二 3-5节 文萃楼M222,1-6周,8周,10-11周 星期五 8-10节 文萃楼M222,7周 星期二 3-5节 工训楼913,7周 星期五 6-7节 工训楼913,9周 星期二 3-5节 工训楼913,9周 星期四 6-7节 工训楼913","补课:9周 星期5 8-10节  文萃楼M222,调课:11周 星期5 8-10节 张宏/6120190008 文萃楼M222 调至:12周 星期5 8-10节 张宏/6120190008 文萃楼M228"
"1-6周,8周,10-11周 星期二 8-10节 文萃楼M222,1-6周,8周,10-11周 星期五 3-5节 文萃楼M222,7周 星期二 8-10节 工训楼913,7周 星期五 1-2节 工训楼913,9周 星期四 8-10节 工训楼913,9周 星期五 1-2节 工训楼913",补课:12周 星期5 3-5节  文萃楼F301
"7-11周,16周 星期三 8-10节 文萃楼I702,7-11周,16周 星期五 8-10节 综教B301,12-15周 星期三 8-10节 理教楼505,12-15周 星期五 8-10节 工训楼915",
"1-10周 星期一 8-10节 文萃楼I502,1-10周 星期四 6-7节 文萃楼I502",
"1-10周 星期一 6-7节 文萃楼F302,1-10周 星期四 8-10节 文萃楼F302,11-13周 星期一 6-7节 文萃楼F302,11-13周 星期四 8-10节 文萃楼F302","调课:13周 星期1 6-7节 赵耀/6120190119 文萃楼F302 调至:13周 星期1 6-7节 赵耀/6120190119 ,调课:12周 星期4 8-10节 赵耀/6120190119 文萃楼F302 调至:12周 星期4 8-10节 赵耀/6120190119 ,调课:13周 星期4 8-10节 赵耀/6120190119 文萃楼F302 调至:13周 星期4 5-7节 赵耀/6120190119 ,调课:12周 星期1 6-7节 赵耀/6120190119 文萃楼F302 调至:12周 星期1 6-7节 赵耀/6120190119 工训楼911"
"9-16周 星期二 6-7节 文萃楼I704,9-16周 星期五 6-7节 文萃楼I704",
"1-10周 星期一 6-7节 文萃楼F404,1-10周 星期三 6-7节 文萃楼F404,11-12周 星期一 6-7节 文萃楼F404,11-12周 星期三 6-7节 文萃楼F404",
"9-11周 星期二 6-7节 综教A401,9-11周 星期四 3-5节 综教A401,12-14周 星期二 6-7节 文萃楼B130,12-14周 星期四 3-5节 文萃楼B130,15周 星期二 6-7节 文萃楼H130",
"1-8周 星期二 6-7节 文萃楼F602,1-8周 星期四 8-9节 文萃楼F602",
"1-7周 星期一 3-5节 文萃楼I704,1-7周 星期二 3-5节 文萃楼F102,8周 星期一 3-5节 文萃楼I704,8周 星期二 3-5节 文萃楼F504",
"1-8周 星期六 3-5节 文萃楼I404,9-16周 星期六 3-5节 文萃楼I404","调课:4周 星期6 3-5节 黄岩/6120200136 文萃楼I404 调至:4周 星期6 3-5节 黄岩/6120200136 综教B101,调课:8周 星期6 3-5节 黄岩/6120200136 文萃楼I404 调至:8周 星期6 3-5节 陈学超/6120130103 文萃楼I404"
1-11周 星期一 11-13节 文萃楼B221,
1-11周 星期三 11-13节 文萃楼G221,调课:1-11周 星期3 11-13节 何远航/6120100888 文萃楼G221 调至:1-11周 星期3 11-13节 何远航/6120100888 文萃楼B223
1-11周 星期二 11-13节 文萃楼H130,
"1-6周 星期六 6-10节 文萃楼M135,7周 星期六 6-7节 文萃楼M135",
1-11周 星期二 11-13节 文萃楼F605,
10-15周 星期二[3-5节]文萃楼B140;16周 星期二[3-5节]文萃楼B140,"补课,补课,补课"
"1-13周 星期二 3-4节 文萃楼I202,1-13周 星期四 8-10节 文萃楼I202",
"1-13周 星期二 6-7节 文萃楼I401,1-13周 星期五 3-5节 文萃楼I401",
"1-13周 星期一 8-10节 文萃楼F401,1-13周 星期四 6-7节 文萃楼F401",
"1-13周 星期一 6-7节 文萃楼F201,1-13周 星期四 8-10节 文萃楼F201",
"1-11周 星期一 3-5节 文萃楼B140,1-11周 星期三 3-5节 文萃楼B140","停课:10周 星期3 3-5节葛翔宇/6120190144 文萃楼B140,补课:12周 星期1 3-5节  文萃楼B140,补课:12周 星期3 3-5节  文萃楼B140,停课:10周 星期1 3-5节葛翔宇/6120190144 文萃楼B140"
"1-11周 星期一 8-10节 文萃楼G223,1-11周 星期三 8-10节 文萃楼G223",
"1-11周 星期一 3-5节 文萃楼F202,1-11周 星期三 8-10节 文萃楼F202",
"1-11周 星期一 3-5节 文萃楼I401,1-11周 星期四 3-5节 文萃楼I401",
"1-8周 星期一 3-5节 文萃楼I204,1-8周 星期三 3-5节 文萃楼I204",
"1-8周 星期二 3-5节 文萃楼I102,1-8周 星期五 3-5节 文萃楼I102",
"1-8周 星期一 8-10节 文萃楼M227,1-8周 星期三 8-10节 文萃楼M227",
"1-8周 星期三 8-10节 文萃楼M223,1-8周 星期四 8-10节 文萃楼M223",
"1-8周 星期一 8-10节 文萃楼B227,1-8周 星期四 8-10节 文萃楼B227",
"1-8周 星期二 8-10节 文萃楼B227,1-8周 星期五 8-10节 文萃楼B227",
"1-8周 星期二 8-10节 文萃楼B228,1-8周 星期五 8-10节 文萃楼B228",
