已排时间地点,调课结果
6-16周 星期一 3-5节 文萃楼F703,
6-16周 星期一 3-5节 文萃楼I405,
6-16周 星期一 8-10节 文萃楼I505,
1-16周 星期五 3-5节 文萃楼I202,
1-16周 星期四 8-10节 文萃楼I302,
1-16周 星期二 8-10节 文萃楼I201,
1-16周 星期二 8-10节 文萃楼I302,调课:10周 星期2 8-10节 梁媛/6120103603 文萃楼I302 调至:10周 星期2 8-10节 张亚彬/6120103602 文萃楼I302
1-16周 星期四 3-5节 文萃楼I701,
1-16周 星期四 3-5节 文萃楼I501,
1-16周 星期四 8-10节 文萃楼I605,
1-16周 星期一 8-10节 文萃楼F201,
1-16周 星期四 8-10节 文萃楼I301,
1-11周 星期五 8-10节 文萃楼I302,
"1-12周 星期一 11-12节 文萃楼I301,1-12周 星期三 6-7节 文萃楼I301",
1-16周 星期三 3-5节 文萃楼I705,
1-11周 星期五 3-5节 文萃楼F205,调课:1-11周 星期5 3-5节 李常青/6120103291 文萃楼F205 调至:1-11周 星期5 3-5节 李常青/6120103291 文萃楼I701
1-11周 星期二 3-5节 文萃楼I103,
1-11周 星期三 8-10节 文萃楼F204,
1-16周 星期一 8-10节 文萃楼I703,
1-11周 星期四 3-5节 文萃楼F704,"停课:9周 星期4 3-5节王文卿/6120104557 文萃楼F704,补课:11周 星期5 8-10节  文萃楼F704"
1-11周 星期三 11-13节 文萃楼I405,
1-11周 星期三 8-10节 文萃楼I405,
1-11周 星期二 11-13节 文萃楼I601,
1-11周 星期五 8-10节 文萃楼I501,"调课:10-11周 星期5 8-10节 高兴/6120220055 文萃楼I501 调至:10-11周 星期5 8-10节 文雯/6120220079 文萃楼I501,补课:12周 星期5 8-10节  文萃楼I501"
1-16周 星期一 8-10节 文萃楼I401,
1-16周 星期二 3-5节 文萃楼B222,
1-16周 星期二 11-13节 文萃楼I301,
1-16周 星期一 3-5节 文萃楼I305,
"1-8周 星期二 8-10节 文萃楼I602,1-8周 星期四 8-10节 文萃楼I602",
1-16周 星期二 6-7节 文萃楼I301,
1-11周 星期三 8-10节 文萃楼F503,
1-16周 星期四 8-10节 文萃楼I703,"停课:9周 星期4 8-10节王文卿/6120104557 文萃楼I703,补课:11周 星期7 8-10节  文萃楼F704"
1-11周 星期三 3-5节 文萃楼I305,
1-11周 星期五 3-5节 文萃楼I701,"调课:4周 星期5 3-5节 丁亚平/6120104088,刘颖/6120104394,史薇/6120200111,向小平/6120120031,安芹/6120103597,李波/6120103604,王丹/6120103875,王文卿/6120104557,贾晓明/6120101753 文萃楼F205 调至:4周 星期5 3-5节 贾晓明/6120101753,史薇/6120200111,向小平/6120120031,王文卿/6120104557,刘颖/6120104394,丁亚平/6120104088,王丹/6120103875,李波/6120103604,安芹/6120103597 文萃楼I704,调课:1-11周 星期5 3-5节 丁亚平/6120104088,刘颖/6120104394,史薇/6120200111,向小平/6120120031,安芹/6120103597,李波/6120103604,王丹/6120103875,王文卿/6120104557,贾晓明/6120101753 文萃楼I701 调至:1-11周 星期5 3-5节 贾晓明/6120101753,史薇/6120200111,向小平/6120120031,王文卿/6120104557,刘颖/6120104394,丁亚平/6120104088,王丹/6120103875,李波/6120103604,安芹/6120103597 文萃楼F205"
1-11周 星期二 3-5节 文萃楼I305,
1-11周 星期二 3-5节 文萃楼F204,
1-11周 星期五 3-5节 文萃楼F503,调课:4周 星期5 3-5节 王颖/6120104111 文萃楼F503 调至:4周 星期5 3-5节 王颖/6120104111 文萃楼B222
1-11周 星期三 8-10节 文萃楼F203,
1-11周 星期三 8-10节 文萃楼I703,
1-11周 星期二 3-5节 文萃楼I205,"调课:11周 星期2 3-5节 吕瑞花/6120102057,姜楠/6120101762,范春萍/6120103331 文萃楼I205 调至:12周 星期2 3-5节 姜楠/6120101762,范春萍/6120103331,吕瑞花/6120102057 文萃楼I205"
1-11周 星期三 8-10节 文萃楼I205,"调课:11周 星期3 8-10节 吕瑞花/6120102057,姜楠/6120101762,范春萍/6120103331 文萃楼I205 调至:12周 星期3 8-10节 姜楠/6120101762,范春萍/6120103331,吕瑞花/6120102057 文萃楼I205"
1-3周 星期三[5-5节]文萃楼F202;1-2周 星期三[3-4节]文萃楼F202;9周 星期三[1-2节]文萃楼F202,"停课,补课,补课,停课"
1-3周 星期二[11-13节]文萃楼F302,
1-3周 星期五[3-5节]文萃楼I704,
4-6周 星期一[11-13节]文萃楼I502,
1-3周 星期一[11-13节]文萃楼I502,
4-6周 星期二[11-13节]文萃楼F302,
4-6周 星期二[3-5节]文萃楼B140,
1-3周 星期二[3-5节]文萃楼B140,
4-6周 星期二[3-5节]文萃楼M134,
1-3周 星期二[3-5节]文萃楼G126,
1-3周 星期二[3-5节]文萃楼B130,
"1-10,12-17周 星期一[11-13节]文萃楼I204",
5-15周 星期四[8-9节]文萃楼B140;5-14周 星期四[10-10节]文萃楼B140,
1-10周 星期三[8-10节]文萃楼M228;13周 星期三[8-9节]文萃楼M228,"补课,停课,停课,补课"
1-2周 星期三[11-13节]文萃楼I102;3-4周 星期三[11-13节]文萃楼I102;5-6周 星期三[11-13节]文萃楼I102;8-9周 星期三[11-13节]文萃楼I102;10-12双周 星期三[11-13节]文萃楼I102;13周 星期三[11-12节]文萃楼I102,
1-11周 星期四[11-12节]文萃楼F102;1-10周 星期四[13-13节]文萃楼F102,
1-8周 星期一[1-2节]文萃楼I204;1-8周 星期二[1-2节]文萃楼I204,
"1-6周 星期三[11-13节]文萃楼I404;8-10,12-13周 星期三[11-12节]文萃楼I404;8-10,12周 星期三[13-13节]文萃楼I404",
"1-4周 星期一[11-13节]文萃楼I103;5-10,12周 星期一[11-12节]文萃楼I103;5-10周 星期一[13-13节]文萃楼I103",
1-3周 星期二[11-13节]文萃楼I504;4-5周 星期二[11-13节]文萃楼I504;6周 星期二[11-13节]文萃楼I504;7周 星期二[11-13节]文萃楼I504;8-10周 星期二[11-13节]文萃楼I504;12周 星期二[11-12节]文萃楼I504,"调课,调课,调课"
12-17周 星期二[11-13节]文萃楼I304;12-17周 星期三[6-7节]文萃楼I304;17周 星期五[8-9节]文萃楼I304,
"1周 星期三[11-13节]文萃楼I501;2,13周 星期三[11-12节]文萃楼I501;2周 星期三[13-13节]文萃楼I501;3,10周 星期三[11-13节]文萃楼I501;4-5周 星期三[11-13节]文萃楼I501;6,12周 星期三[11-13节]文萃楼I501;8-9周 星期三[11-13节]文萃楼I501","调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课"
"8-10,12-15周 星期一[1-2节]文萃楼I102;8-10,12-14周 星期一[3-5节]文萃楼I102",
"1周 星期三[8-10节]文萃楼B140;2,5周 星期三[8-10节]文萃楼B140;3,6周 星期三[8-10节]文萃楼B140;4周 星期三[8-10节]文萃楼B140;8-9,13周 星期三[8-9节]文萃楼B140;8-9周 星期三[10-10节]文萃楼B140;10-12双周 星期三[8-10节]文萃楼B140","调课,调课,调课"
6-16周 星期五[11-12节]文萃楼I102;6-15周 星期五[13-13节]文萃楼I102,
12-17周 星期一[3-7节]文萃楼I404;18周 星期一[3-4节]文萃楼I404,
"1-2,13周 星期三[11-12节]文萃楼I504;1-2周 星期三[13-13节]文萃楼I504;3,9周 星期三[11-13节]文萃楼I504;4-5周 星期三[11-13节]文萃楼I504;6,10周 星期三[11-13节]文萃楼I504;8,12周 星期三[11-13节]文萃楼I504","调课,调课"
"1-4,6-10,12周 星期一[11-12节]文萃楼I402;1-4,6-10周 星期一[13-13节]文萃楼I402;5,8周 星期一[11-13节]文萃楼I402","调课,调课,调课"
1-3周 星期二[6-10节]文萃楼F504;4-7周 星期二[6-7节]文萃楼F504;4-6周 星期二[8-10节]文萃楼F504,"调课,调课,调课,调课,调课,调课,调课,调课,调课,调课"
"1周 星期一[8-10节]文萃楼F302;2周 星期一[8-10节]文萃楼F302;3,6,12周 星期一[8-9节]文萃楼F302;3,6周 星期一[10-10节]文萃楼F302;4,9周 星期一[8-10节]文萃楼F302;5,10周 星期一[8-10节]文萃楼F302;7周 星期一[8-10节]文萃楼F302;8周 星期一[8-10节]文萃楼F302","调课,调课,调课"
"12,15-17周 星期四[3-7节]文萃楼F103;13-14周 星期四[3-7节]文萃楼F103;17周 星期三[8-9节]文萃楼F103",
2-12周 星期二 11-13节 文萃楼B140,调课:10周 星期2 11-13节 王颖/6120101768 文萃楼B140 调至:13周 星期2 11-13节 王颖/6120101768 文萃楼B140
1-11周 星期二 11-13节 文萃楼B129,
2-12周 星期四 11-13节 文萃楼G130,
2-12周 星期四 8-10节 文萃楼G130,
2-12周 星期二 8-10节 文萃楼J911,调课:4周 星期2 8-10节 曲香竹/6120104071 文萃楼J911 调至:13周 星期2 8-10节 曲香竹/6120104071 文萃楼J911
2-12周 星期一 8-10节 文萃楼B140,
2-12周 星期二 8-10节 文萃楼B140,调课:10周 星期2 8-10节 王颖/6120101768 文萃楼B140 调至:13周 星期2 8-10节 王颖/6120101768 文萃楼B140
2-12周 星期二 11-13节 文萃楼J916,调课:12周 星期2 11-13节 贾金莉/6120103713 文萃楼J916 调至:12周 星期6 8-10节 贾金莉/6120103713
2-12周 星期二 11-13节 文萃楼B227,
2-12周 星期二 3-5节 文萃楼J911,"调课:9周 星期2 3-5节 曲楠/6120210152,曲香竹/6120104071 文萃楼J911 调至:9周 星期6 3-5节 曲香竹/6120104071,曲楠/6120210152"
2-12周 星期三 8-10节 文萃楼G221,
2-12周 星期二 8-10节 文萃楼J916,调课:12周 星期2 8-10节 贾金莉/6120103713 文萃楼J916 调至:12周 星期6 8-10节 贾金莉/6120103713
2-12周 星期二 11-13节 文萃楼I501,调课:5周 星期2 11-13节 江洋/6120104823 文萃楼I501 调至:13周 星期2 11-13节 江洋/6120104823 文萃楼I501
2-12周 星期三 8-10节 文萃楼G130,
2-12周 星期三 11-13节 文萃楼G130,
2-12周 星期二 11-13节 文萃楼G221,
2-12周 星期四 11-13节 文萃楼G126,
1-11周 星期二 11-13节 文萃楼M221,
3-13周 星期二 8-10节 文萃楼F505,
1-11周 星期四 3-5节 文萃楼M223,
2-12周 星期四 8-10节 文萃楼G224,
2-12周 星期四 11-13节 文萃楼M224,
2-12周 星期四 11-13节 文萃楼G223,"调课:11周 星期4 11-13节 宫晓东/6120103066,曾妮/6120220146,欧阳嘉煜/6120220131,江大伟/6120120096,王雨晴/6120170074,薛少华/6120150089,郑佳然/6120120154,高琪/6120100100 文萃楼G223 调至:11周 星期4 11-13节 高琪/6120100100,曾妮/6120220146,欧阳嘉煜/6120220131,王雨晴/6120170074,薛少华/6120150089,郑佳然/6120120154,江大伟/6120120096,宫晓东/6120103066"
2-12周 星期四 11-13节 文萃楼G221,
1-11周 星期四 11-13节 文萃楼I103,
2-12周 星期一 3-5节 文萃楼J911,
1-9周 星期二 11-13节 文萃楼F603,"调课:2-3周 星期2 11-13节 张海云/7220180174,程凯/9120210005 文萃楼F603 调至:2-3周 星期2 11-13节 张海云/7220180174,程凯/9120210005"
2-12周 星期二 8-10节 文萃楼I601,调课:5周 星期2 8-10节 江洋/6120104823 文萃楼I601 调至:13周 星期2 8-10节 江洋/6120104823 文萃楼I601
2-12周 星期二 11-13节 文萃楼B130,
2-12周 星期二 8-10节 文萃楼G224,
2-12周 星期二 11-13节 文萃楼M223,
1-11周 星期二 11-13节 文萃楼I601,
2-12周 星期一 11-13节 文萃楼G224,
2-12周 星期一 8-10节 文萃楼G224,
1-11周 星期三 11-13节 文萃楼I204,调课:3-11周 星期3 11-13节 童旭光/6120110016 文萃楼I204 调至:3-11周 星期3 11-13节 童旭光/6120110016 文萃楼I203
2-12周 星期二 8-10节 文萃楼G227,
2-12周 星期二 8-10节 文萃楼F605,
2-12周 星期二 11-13节 文萃楼J911,"调课:3-12周 星期2 11-13节 曲香竹/6120104071 文萃楼J911 调至:3-12周 星期2 11-13节 曲香竹/6120104071 文萃楼G223,调课:4周 星期2 11-13节 曲香竹/6120104071 文萃楼G223 调至:13周 星期2 11-13节 曲香竹/6120104071 文萃楼G223"
2-12周 星期二 11-13节 文萃楼G224,
1-11周 星期四 11-13节 文萃楼B140,
2-12周 星期二 11-13节 文萃楼M222,调课:6周 星期2 11-13节 张晨宇/6120103764 文萃楼M222 调至:13周 星期2 11-13节 张晨宇/6120103764 文萃楼I101
2-12周 星期二 11-13节 文萃楼B221,
2-12周 星期三 11-13节 文萃楼B221,"调课:4周 星期3 11-13节 侯倩/6120210040,姜楠/6120101762,曲楠/6120210152 文萃楼B221 调至:13周 星期3 11-13节 姜楠/6120101762,曲楠/6120210152,侯倩/6120210040 文萃楼B221"
1-9周 星期四 11-13节 文萃楼F603,"调课:2-3周 星期4 11-13节 张海云/7220180174,韩丽（北中医）/9120191012 文萃楼F603 调至:2-3周 星期4 11-13节 张海云/7220180174,韩丽（北中医）/9120191012"
1-11周 星期四 11-13节 文萃楼F701,
2-12周 星期一 11-13节 文萃楼G223,
1-16周 星期二 8-10节 文萃楼I103,
"1-8周 星期三 3-5节 文萃楼I505,1-8周 星期五 8-10节 文萃楼I505",
"1-8周 星期二 8-10节 文萃楼I405,1-8周 星期五 8-10节 文萃楼I405",
"1-8周 星期二 11-13节 文萃楼I303,1-8周 星期四 11-13节 文萃楼I303",
"9-16周 星期二 6-7节 文萃楼F304,9-16周 星期五 6-7节 文萃楼F304",
"1-5周 星期二 8-10节 文萃楼M135,1-5周 星期四 8-10节 文萃楼M135,6周 星期二 8-9节 文萃楼M135",
"1-5周 星期二 8-10节 文萃楼M223,1-5周 星期五 8-10节 文萃楼M223,6周 星期二 8-9节 文萃楼M223",
"9-16周 星期一 8-10节 文萃楼F501,9-16周 星期四 8-10节 文萃楼F501","调课:10-16周 星期4 8-10节 秦雪娜/6120140093 文萃楼F501 调至:10-16周 星期4 8-10节 秦雪娜/6120140093 文萃楼G125,调课:10-16周 星期1 8-10节 秦雪娜/6120140093 文萃楼F501 调至:10-16周 星期1 8-10节 秦雪娜/6120140093 文萃楼G125"
"9-16周 星期一 8-10节 文萃楼I501,9-16周 星期四 8-10节 文萃楼I501",
"9-16周 星期二 8-10节 文萃楼G223,9-16周 星期四 8-10节 文萃楼G223",
"9-14周 星期二 8-10节 文萃楼M228,9-14周 星期三 6-7节 文萃楼M228,15周 星期三 6-7节 文萃楼M228",调课:11周 星期3 6-7节 罗丽/6120103049 文萃楼M228 调至:13周 星期6 6-7节 罗丽/6120103049 文萃楼M227
"8-14周 星期四 8-10节 文萃楼F204,15周 星期二 3-5节 文萃楼F204,15周 星期四 8-10节 文萃楼F204,16周 星期二 3-5节 文萃楼F204,16周 星期四 8-9节 文萃楼F204",
"1-10周 星期三 11-13节 文萃楼I302,11周 星期三 11-12节 文萃楼I302",
"5-12周 星期三 6-7节 文萃楼F402,5-12周 星期五 6-7节 文萃楼F402",调课:6周 星期5 6-7节 裴轶/6120210016 文萃楼F402 调至:13周 星期3 6-7节 裴轶/6120210016 文萃楼F402
9-16周 星期四 2-5节 文萃楼M125,
"1-8周 星期一 6-7节 文萃楼I404,1-8周 星期四 6-7节 文萃楼I404",
"1-2周 星期一 3-5节 文萃楼G224,1-2周 星期四 3-5节 文萃楼G224,3周 星期一 3-5节 文萃楼G224,3周 星期四 3-4节 文萃楼G224,4-5周 星期一 3-5节 文萃楼G224,4-5周 星期四 3-5节 文萃楼G224,6周 星期一 3-5节 文萃楼G224",调课:3周 星期4 3-4节 李金明/6120103284 文萃楼G224 调至:3周 星期4 3-4节 李金明/6120103284
"1-5周 星期二 3-5节 文萃楼I405,6周 星期二 3-3节 文萃楼I405",
"1-5周 星期一 8-10节 文萃楼G221,6周 星期一 8-8节 文萃楼G221",
"1-5周 星期五 3-5节 文萃楼F405,6周 星期五 3-3节 文萃楼F405","调课:4周 星期5 3-5节 付俊伟/6120104863 文萃楼F405 调至:4周 星期5 3-5节 付俊伟/6120104863 综教B101,调课:6周 星期5 3-3节 付俊伟/6120104863 文萃楼F405 调至:7周 星期5 11-11节 付俊伟/6120104863 文萃楼M233"
"1-5周 星期一 8-10节 文萃楼M224,6周 星期一 8-8节 文萃楼M224",
"1-5周 星期三 8-10节 文萃楼I305,6周 星期三 8-8节 文萃楼I305",
"1-5周 星期四 3-5节 文萃楼F102,6周 星期四 3-3节 文萃楼F102",
"1-10周 星期一 11-13节 文萃楼I304,11周 星期一 11-12节 文萃楼I304",
"9-14周 星期一 6-7节 文萃楼I304,9-14周 星期五 11-13节 文萃楼I304,15周 星期一 6-7节 文萃楼I304",
"9-13周 星期一 3-5节 文萃楼I402,9-13周 星期四 11-13节 文萃楼I402,14周 星期一 3-4节 文萃楼I402",
"9-14周 星期二 1-2节 文萃楼M228,9-14周 星期四 3-5节 文萃楼M228,15周 星期二 1-2节 文萃楼M228",
"1-6周 星期一 6-7节 文萃楼I202,1-6周 星期五 11-13节 文萃楼I202,7周 星期一 6-7节 文萃楼I202","调课:3-6周 星期1 6-7节 廖仕梅/6120103389 文萃楼I202 调至:3-6周 星期1 6-7节 廖仕梅/6120103389 文萃楼B223,调课:7周 星期1 6-7节 廖仕梅/6120103389 文萃楼I202 调至:7周 星期1 6-7节 廖仕梅/6120103389 文萃楼B223,调课:2-6周 星期5 11-13节 廖仕梅/6120103389 文萃楼I202 调至:2-6周 星期5 11-13节 廖仕梅/6120103389 文萃楼B223,调课:1周 星期1 6-7节 廖仕梅/6120103389 文萃楼I202 调至:7周 星期5 11-12节 廖仕梅/6120103389 文萃楼I202"
"9-16周 星期一 3-4节 文萃楼B129,9-16周 星期三 1-2节 文萃楼B129",
"1-8周 星期二 6-7节 文萃楼F202,1-8周 星期三 6-7节 文萃楼F202",
"1-8周 星期一 1-2节 文萃楼M224,1-8周 星期五 1-2节 文萃楼M224",调课:7周 星期5 1-2节 杨宽/6120190055 文萃楼M224 调至:9周 星期2 6-7节 杨宽/6120190055 综教B102
"1-10周 星期三 3-5节 文萃楼I501,11周 星期三 3-4节 文萃楼I501",调课:9周 星期3 3-5节 连俊雅/6120180135 文萃楼I501 调至:9周 星期5 11-13节 连俊雅/6120180135 文萃楼F101
"1-8周 星期一 8-10节 文萃楼I504,1-8周 星期三 8-10节 文萃楼I504",
"1-8周 星期一 8-10节 文萃楼B221,1-8周 星期三 8-10节 文萃楼B221","停课:8周 星期3 8-10节魏求月/6120190129 文萃楼B221,补课:8周 星期5 11-13节  文萃楼M233"
"1-8周 星期一 8-10节 文萃楼F605,1-8周 星期五 8-10节 文萃楼F605","调课:4周 星期5 8-10节 杨宽/6120190055 文萃楼F605 调至:4周 星期5 8-10节 杨宽/6120190055 文萃楼I204,调课:5-8周 星期5 8-10节 杨宽/6120190055 文萃楼F605 调至:5-8周 星期5 8-10节 杨宽/6120190055 文萃楼I704,调课:7-8周 星期1 8-10节 杨宽/6120190055 文萃楼F605 调至:7-8周 星期1 8-10节 杨宽/6120190055 文萃楼I704,调课:6周 星期1 8-10节 杨宽/6120190055 文萃楼F605 调至:6周 星期1 8-10节 杨宽/6120190055 文萃楼I102"
"1-8周 星期一 8-10节 文萃楼F301,1-8周 星期四 8-10节 文萃楼F301",
"9-13周 星期二 3-5节 文萃楼F604,9-13周 星期五 8-10节 文萃楼F604,14周 星期二 3-4节 文萃楼F604",
"1-8周 星期二 6-7节 文萃楼B130,1-8周 星期四 6-7节 文萃楼B130",
1-16周 星期三 11-13节 文萃楼G125,"停课:3周 星期3 11-13节赵秀梅/6120101758 文萃楼G125,补课:6周 星期7 11-13节  文萃楼M135"
1-16周 星期四 3-5节 文萃楼B228,
"9-16周 星期一 1-2节 文萃楼I204,9-16周 星期三 1-2节 文萃楼I204",
"1-5周 星期二 11-13节 文萃楼I305,1-5周 星期四 11-13节 文萃楼I305,6周 星期二 11-12节 文萃楼I305",
1-5周 星期二[8-10节]文萃楼G130;1-5周 星期五[8-10节]文萃楼G130;6周 星期二[8-9节]文萃楼G130,
"9-16周 星期四[3-4节]文萃楼I102;9-10,12-17周 星期二[3-4节]文萃楼I102",
1-5周 星期一[8-10节]文萃楼B130;1-4周 星期三[8-10节]文萃楼B130;6周 星期一[8-9节]文萃楼B130;6周 星期三[8-10节]文萃楼B130,"调课,调课,调课"
"9-10,12-14周 星期一[8-10节]文萃楼I102;9-10,12-14周 星期三[8-10节]文萃楼I102;15周 星期一[8-9节]文萃楼I102",
"9-13周 星期五[8-10节]文萃楼F402;9-10,12-14周 星期一[8-10节]文萃楼F402;14周 星期五[8-9节]文萃楼F402",
1-5周 星期五[3-5节]理教楼307;2-5周 星期一[3-5节]文萃楼M227;6周 星期一[3-4节]文萃楼M227;6周 星期五[3-5节]文萃楼B129,"调课,调课,调课,调课,调课,调课,调课,调课,调课,调课,调课"
"1-5周 星期二[11-13节]文萃楼F505;2-3,5周 星期五[11-13节]文萃楼F505;4周 星期五[11-13节]文萃楼M221;6周 星期二[11-12节]文萃楼F505;6周 星期五[11-13节]文萃楼F505","调课,调课,调课,调课,调课,调课,调课,调课,调课"
"9-13周 星期五[8-10节]文萃楼F502;9-10,12-14周 星期二[11-13节]文萃楼F502;14周 星期五[8-9节]文萃楼F502",
1-7周 星期二[6-7节]文萃楼F404;1-6周 星期四[8-10节]文萃楼F404,
1-5周 星期四[11-13节]文萃楼G227;1-5周 星期五[11-13节]文萃楼G227;6周 星期四[11-12节]文萃楼G227,
"9-10,12-16周 星期二[6-7节]文萃楼F602;9-10,12-15周 星期三[8-10节]文萃楼F602",
1-6周 星期一[8-9节]文萃楼F504;1-5周 星期一[10-10节]文萃楼F504;1-5周 星期三[8-10节]文萃楼F504,
1-7周 星期二[6-7节]文萃楼M228;1-6周 星期四[3-5节]文萃楼M228,
"9-13周 星期五[11-13节]文萃楼F103;9-10,12-14周 星期三[11-13节]文萃楼F103;14周 星期五[11-12节]文萃楼F103",
1-5周 星期三[8-10节]文萃楼I102;1-5周 星期四[8-10节]文萃楼I102;6周 星期三[8-9节]文萃楼I102,
1-4周 星期一[6-7节]文萃楼G223;1-4周 星期四[6-7节]文萃楼G223,
1-2周 星期一[6-7节]文萃楼F402;1-2周 星期四[6-7节]文萃楼F402;3-4周 星期一[6-7节]文萃楼F402;3-4周 星期四[6-7节]文萃楼F402,
"9-13周 星期四[11-13节]文萃楼I605;9-10,12-14周 星期一[11-13节]文萃楼I605;14周 星期四[11-12节]文萃楼I605",
1-5周 星期一[8-10节]文萃楼F704;1-5周 星期三[8-10节]文萃楼F704;6周 星期一[8-9节]文萃楼F704,
"1-8周 星期二[6-7节]文萃楼F304;1-3,5-8周 星期五[6-7节]文萃楼F304;4周 星期五[6-7节]文萃楼I301","调课,调课,调课,调课,调课,调课"
1-5周 星期三[11-13节]文萃楼F103;1-5周 星期四[11-13节]文萃楼F103;6周 星期三[11-12节]文萃楼F103,
1-9周 星期一[11-13节]文萃楼F103;12周 星期一[11-12节]文萃楼F103;13周 星期一[11-13节]文萃楼F103,"调课,调课,调课"
"9-13周 星期五[11-13节]文萃楼M224;9-10,12-14周 星期二[11-13节]文萃楼M224;14周 星期五[11-12节]文萃楼M224",
1-8周 星期一[6-7节]文萃楼I604;1-8周 星期五[6-7节]文萃楼I604,
1-6周 星期二[11-12节]文萃楼F404;1-5周 星期二[13-13节]文萃楼F404;1-5周 星期四[11-13节]文萃楼F404,
"1-10周 星期四 11-13节 文萃楼I202,11周 星期四 11-12节 文萃楼I202",调课:10周 星期4 11-13节 郑晓静/6120104771 文萃楼I202 调至:10周 星期4 11-13节 程华儿/7420190212 文萃楼I202
"1-10周 星期二 11-13节 文萃楼I103,11周 星期二 11-12节 文萃楼I103",
"1-10周 星期四 11-13节 文萃楼I302,11周 星期四 11-12节 文萃楼I302",
"1-10周 星期三 11-13节 文萃楼M222,11周 星期三 11-12节 文萃楼M222","停课:8周 星期3 11-13节魏求月/6120190129 文萃楼M222,补课:13周 星期3 11-13节  文萃楼M233"
"1-10周 星期四 11-13节 文萃楼I204,11周 星期四 11-12节 文萃楼I204",
"1-10周 星期一 11-13节 文萃楼M223,11周 星期一 11-12节 文萃楼M223",补课:12周 星期1 11-13节  文萃楼M233
"1-10周 星期一 11-13节 文萃楼I202,11周 星期一 11-12节 文萃楼I202",
"9-13周 星期一 11-13节 文萃楼F302,9-13周 星期四 11-13节 文萃楼F302,14周 星期一 11-12节 文萃楼F302",
"1-10周 星期三 11-13节 文萃楼I304,11周 星期三 11-12节 文萃楼I304",
"1-10周 星期二 11-13节 文萃楼I202,11周 星期二 11-12节 文萃楼I202",
"5-14周 星期三 11-13节 文萃楼F302,15周 星期三 11-12节 文萃楼F302",
1-11周 星期二 3-5节 文萃楼M233,
1-16周 星期三 6-7节 文萃楼F305,
"1-16周 星期一 6-7节 文萃楼F205,1-16周 星期五 3-4节 文萃楼I403","调课:6周 星期5 3-4节 张渊/6120104316 文萃楼I403 调至:17周 星期1 3-4节 张渊/6120104316 文萃楼I101,调课:6周 星期1 6-7节 张渊/6120104316 文萃楼F205 调至:16周 星期7 1-2节 张渊/6120104316 文萃楼I101,调课:17周 星期1 3-4节 张渊/6120104316 文萃楼I101 调至:16周 星期7 3-4节 张渊/6120104316 文萃楼I101,调课:5周 星期5 3-4节 张渊/6120104316 文萃楼I403 调至:16周 星期5 10-11节 张渊/6120104316 文萃楼I101"
"1-16周 星期一 8-9节 文萃楼F205,1-16周 星期五 1-2节 文萃楼I403","调课:5周 星期5 1-2节 张渊/6120104316 文萃楼I403 调至:16周 星期5 12-13节 张渊/6120104316 文萃楼I101,调课:6周 星期5 1-2节 张渊/6120104316 文萃楼I403 调至:16周 星期7 6-7节 张渊/6120104316 文萃楼I101,调课:6周 星期1 8-9节 张渊/6120104316 文萃楼F205 调至:16周 星期7 8-9节 张渊/6120104316 文萃楼I101"
"1-16周 星期二 1-2节 文萃楼I703,1-16周 星期四 1-2节 文萃楼I703",
1-16周 星期三 8-9节 文萃楼F205,
1-16周 星期三 6-7节 文萃楼F205,
1-8周 星期四 6-7节 文萃楼M224,
1-8周 星期四 8-9节 文萃楼M224,"停课:8周 星期4 8-9节张剑/6120101861 文萃楼M224,补课:13周 星期5 3-4节  文萃楼I101"
1-16周 星期二 3-4节 文萃楼I702,
1-16周 星期二 6-7节 文萃楼F401,
1-16周 星期二 3-4节 文萃楼F401,
1-16周 星期一 8-9节 文萃楼L614,
1-16周 星期一 6-7节 文萃楼L614,
1-16周 星期一 1-2节 文萃楼I403,
1-16周 星期一 3-4节 文萃楼I403,
1-16周 星期三 6-7节 文萃楼I703,
1-16周 星期五 1-2节 文萃楼I304,
1-16周 星期五 3-4节 文萃楼I304,
1-16周 星期二 8-9节 文萃楼I304,
1-16周 星期四 6-7节 文萃楼F601,
1-16周 星期一 1-2节 文萃楼G223,调课:13周 星期1 1-2节 陈智颖/6120220205 文萃楼G223 调至:14周 星期4 1-2节 陈智颖/6120220205 文萃楼F704
1-16周 星期一 3-4节 文萃楼G223,调课:13周 星期1 3-4节 陈智颖/6120220205 文萃楼G223 调至:14周 星期4 3-4节 陈智颖/6120220205 文萃楼F704
1-16周 星期四 8-9节 文萃楼F701,
1-16周 星期四 6-7节 文萃楼F701,
1-16周 星期二 3-4节 文萃楼F602,
1-16周 星期二 1-2节 文萃楼F602,
1-16周 星期四 8-9节 文萃楼I503,
1-16周 星期二 6-7节 文萃楼G221,
1-16周 星期三 1-2节 文萃楼F603,
1-16周 星期三 3-4节 文萃楼F603,
1-11周 星期五 3-5节 文萃楼F703,"调课:4周 星期5 3-5节 鲍忠明/6120104305 文萃楼F703 调至:4周 星期5 3-5节 鲍忠明/6120104305 综教B105,调课:2周 星期5 3-5节 鲍忠明/6120104305 文萃楼F703 调至:12周 星期5 3-5节 鲍忠明/6120104305 文萃楼F703"
1-8周 星期三 6-7节 文萃楼F603,
1-11周 星期五 6-8节 文萃楼I703,
1-8周 星期一 6-7节 文萃楼M233,
